안심식당SEQ,시도코드,시도명,시군구명,사업장명,대표자명,안심식당지정일,주소1,주소2,업종,업종상세,전화번호, 선정여부,안심식당취소일,비고(웹사이트등),수정일,
17570,445000,경기도,화성시,죽이야기(송산그린점),권영선,2020-09-09,경기도 화성시 수노을중앙로146번지 호평프라자1동 106호, ,일반음식점,한식,031-831-9774,Y,null,프랜차이즈협회우선추천매장,2020-11-01,
17569,445000,경기도,화성시,정마루,정혜정,2020-08-10,경기도 화성시 향남읍 발안로303, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17568,471000,경기도,구리시,황제능이백숙,이규홍,2020-08-06,경기도 구리시 동구릉로 203 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17567,471000,경기도,구리시,황서연참치,이은정,2020-08-06,경기도 구리시 경춘로 180, ,일반음식점,일식, ,Y,null, ,2020-11-01,
17566,471000,경기도,구리시,화포식당,김준오,2020-08-06,경기도 구리시 장자대로86번길 14-4, ,일반음식점,한식, ,Y,null, ,2020-11-01,
17565,471000,경기도,구리시,홍콩반점0410구리돌다리점,권오진,2020-08-06,경기도 구리시 검배로6번길 27 , ,일반음식점,중식,031-551-1274,Y,null, ,2020-11-01,
17564,471000,경기도,구리시,홍성일짬뽕,홍성일,2020-08-06,경기도 구리시 원수택로 64, ,일반음식점,중식,031-568-3339,Y,null, ,2020-11-01,
17563,471000,경기도,구리시,호남식당,김은지,2020-08-06,경기도 구리시 검배로93번길 28-8 , ,일반음식점,한식, ,Y,null, ,2020-11-01,
17562,471000,경기도,구리시,핵스테이크구리점,유승규,2020-08-06,경기도 구리시 경춘북로 252, ,일반음식점,서양식, ,Y,null, ,2020-11-01,
17561,471000,경기도,구리시,해원,육창조외1명,2020-08-06,경기도 구리시 동구릉로 237, ,일반음식점,한식,031-563-0185,Y,null, ,2020-11-01,
17560,471000,경기도,구리시,해성손칼국수,이병연,2020-08-06,경기도 구리시 검배로94번길 12 , ,일반음식점,한식,031-562-7332,Y,null, ,2020-11-01,
17559,471000,경기도,구리시,학,정지민,2020-08-06,경기도 구리시 안골로 47 , ,일반음식점,한식,031-552-2027,Y,null, ,2020-11-01,
17558,471000,경기도,구리시,하루덕구리인창점,장창배,2020-08-06,경기도 구리시 건원대로99번길 99 , ,일반음식점,한식,031-552-2280,Y,null, ,2020-11-01,
17557,471000,경기도,구리시,하나스시,김민규,2020-08-06,경기도 구리시 건원대로99번길 83, ,일반음식점,일식,031-1569-2211,Y,null, ,2020-11-01,
