안심식당번호,시도명,시군구명,사업장명,정제도로명주소,정제지번주소,상세주소,업종명,업종상세명,전화번호,선정여부구분,취소일자,비고사항,수정일,정제우편번호,정제WGS84위도,정제WGS84경도
2399,경기도,군포시,석스시,경기도 군포시 산본로323번길 16-30,경기도 군포시 산본동 1133-1번지,성보빌딩 208호,일반음식점,일식,,Y,,,,15865,37.3601888763,126.9316075011
2400,경기도,군포시,김수사,경기도 군포시 산본로323번길 4-7,경기도 군포시 산본동 1129번지,청우빌딩 3층,일반음식점,일식,031-391-3115,Y,,,,15865,37.3596631540,126.9328761969
2401,경기도,군포시,이학갈비,경기도 군포시 산본천로 56,경기도 군포시 산본동 1123-3번지 센트로 601호,2층,일반음식점,한식,031-392-2095,Y,,,,15865,37.3604244685,126.9299909178
2402,경기도,군포시,훗스테이크,경기도 군포시 산본천로 56,경기도 군포시 산본동 1123-3번지 센트로 601호,201호,일반음식점,서양식,031-392-4475,Y,,,,15865,37.3604244685,126.9299909178
2403,경기도,군포시,봉추찜닭,경기도 군포시 산본로323번길 26-18,경기도 군포시 산본동 1139-3번지,201호,일반음식점,한식,031-392-6981,Y,,,,15865,37.3591582500,126.9309716204
2404,경기도,군포시,마산아구찜,경기도 군포시 산본로343번길 9,경기도 군포시 산본동 1132-3번지,성진빌딩 202호,일반음식점,한식,031-393-5955,Y,,,,15865,37.3606222807,126.9317623258
2406,경기도,군포시,본죽&amp;비빔밥카페 산본로데오점,경기도 군포시 산본로323번길 16-15,경기도 군포시 산본동 1135번지,"광림빌딩 201호, 202호",일반음식점,한식,031-398-6282,Y,,,,15865,37.3594045988,126.9315908315
2408,경기도,군포시,만들기전문점,경기도 군포시 산본로323번길 10-22,경기도 군포시 산본동 1131-2번지,청운빌딩 301호,일반음식점,서양식,070-7739-6512,Y,,,,15865,37.3601373990,126.9321499203
2410,경기도,군포시,돈내코통삼겹,,경기도 군포시 금정동 738-2번지 주영리치빌주상복합,주영리치빌 104호,일반음식점,한식,031-458-5295,Y,,,,15813,37.3641110707,126.9432322001
2411,경기도,군포시,군포본점뽕잎사랑,경기도 군포시 당정역로 82,경기도 군포시 당정동 1014-1번지,1층,일반음식점,한식,031-456-4564,Y,,,,15851,37.3434327271,126.9488491784
2413,경기도,군포시,여몽소갈비,경기도 군포시 용호1로1번길 8-1,경기도 군포시 당동 977-6번지,1층,일반음식점,한식,031-396-2318,Y,,,,15872,37.3426875943,126.9379939296
2414,경기도,군포시,경복궁들깨삼계탕,,경기도 군포시 군포로,102~104호,일반음식점,한식,031-391-3989,Y,,,,,,
2416,경기도,군포시,허니듀,경기도 군포시 호수로 124-9,경기도 군포시 둔대동 346-3번지,"1층, 2층",일반음식점,서양식,031-437-5003,Y,,,,15892,37.3232650696,126.8928334611
2418,경기도,남양주시,장어명가,경기도 남양주시 화도읍 수레로 1098,경기도 남양주시 화도읍 차산리 76-20번지,,일반음식점,한식,031-511-5887,Y,,,,12197,37.6354066805,127.3036501612
2420,경기도,남양주시,크리미부어크,경기도 남양주시 천마산로 2,경기도 남양주시 호평동 269-1번지,2층,일반음식점,한식,031-559-3884,Y,,,,12141,37.6620816694,127.2488739869
2422,경기도,남양주시,남양주축협한우명가,경기도 남양주시 화도읍 창현로 47,경기도 남양주시 화도읍 창현리 555-4번지,"1층, 2층",일반음식점,한식,031-560-4812,Y,,,,12183,37.6465592026,127.3054005058
2424,경기도,남양주시,만리장성,경기도 남양주시 진건읍 진건오남로 1,경기도 남양주시 진건읍 사능리 600-3번지,,일반음식점,한식,031-573-2006,Y,,,,12139,37.6513470974,127.1784772633
2426,경기도,남양주시,소담촌 마석점,경기도 남양주시 화도읍 맷돌로 93,경기도 남양주시 화도읍 마석우리 541-1번지,4층,일반음식점,한식,031-592-8545,Y,,,,12165,37.6582868831,127.3007328844
2428,경기도,남양주시,맷돌36샤브샤브,경기도 남양주시 화도읍 맷돌로 36,경기도 남양주시 화도읍 마석우리 514-13번지,,일반음식점,한식,031-593-3939,Y,,,,12167,37.6580963912,127.2947699128
2430,경기도,남양주시,광릉돌솥밥,경기도 남양주시 진접읍 금강로1845번길 1,경기도 남양주시 진접읍 팔야리 732-6번지,,일반음식점,한식,031-527-3334,Y,,,,12018,37.7496438017,127.2086783633
2432,경기도,남양주시,쿠우쿠우 별내점,경기도 남양주시 별내중앙로 34,경기도 남양주시 별내동 1006번지,로뎀타워 9층,일반음식점_외,기타 음식점업,031-574-6274,Y,,,,12113,37.6461610351,127.1254038289
2433,경기도,남양주시,두끼평내호평점,경기도 남양주시 늘을2로 26,경기도 남양주시 호평동 640번지,호평메인시네마타워 208호,일반음식점_외,기타 음식점업,031-593-2770,Y,,,,12150,37.6550950658,127.2441133261
